Resource or Program Name,Record Type,Category,Provider Type,Town,ZIP Code,Address,Ages or Population Served,Contact Name,Phone or Contact,Website,License or Registry ID,Infant/Toddler Funded Spaces FY26,Preschool Funded Spaces FY26,School-Age Funded Spaces FY26,Total Funded Spaces FY26,Local Governance Partner,Local Partner Contact,Availability or Cost Notes,Source,Verified or Accessed,Verification Notes
Bridgeport Boe At Barnum School,Provider,Early Start CT funded child care,Public School,Bridgeport,06608,"495 Waterview Ave, Bridgeport, CT, 06608",Preschool,Lindsay Davis,(203) 275-1262,,EXEMPT; Registry 1689,0,18,0,18,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bridgeport Boe At Beardsley School,Provider,Early Start CT funded child care,Public School,Bridgeport,06610,"500 Huntington Rd, Bridgeport, CT, 06610",Preschool,Lindsay Davis,(203) 275-1262,,EXEMPT; Registry 1690,0,36,0,36,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bridgeport Boe At Black Rock,Provider,Early Start CT funded child care,Public School,Bridgeport,06605,"545 Brewster St, Bridgeport, CT, 06605",Preschool,Lindsay Davis,(203) 275-1262,,EXEMPT; Registry 6251,0,18,0,18,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bridgeport Boe At Blackham School,Provider,Early Start CT funded child care,Public School,Bridgeport,06606,"425 Thorme St, Bridgeport, CT, 06606",Preschool,Lindsay Davis,(203) 275-1262,,DCEX.80735; Registry 1691,0,36,0,36,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bridgeport Boe At Bryant School,Provider,Early Start CT funded child care,Public School,Bridgeport,06605,"230 Poplar St, Bridgeport, CT, 06605",Preschool,Lindsay Davis,(203) 275-1262,,EXEMPT; Registry 1799,0,18,0,18,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bridgeport Boe At Cesar Batalla School,Provider,Early Start CT funded child care,Public School,Bridgeport,06605,"606 Howard Ave, Bridgeport, CT, 06605",Preschool,Lindsay Davis,(203) 275-1262,,DCEX.80560; Registry 1869,0,36,0,36,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bridgeport Boe At Classical Studies Academy Magnet School,Provider,Early Start CT funded child care,Public School,Bridgeport,06605,"659 Beechwood Ave, Bridgeport, CT, 06605",Preschool,Lindsay Davis,(203) 275-1262,,EXEMPT; Registry 7466,0,18,0,18,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bridgeport Boe At Columbus School,Provider,Early Start CT funded child care,Public School,Bridgeport,06604,"275 George St, Bridgeport, CT, 06604",Preschool,Lindsay Davis,(203) 275-1262,,DCEX.80667; Registry 7503,0,18,0,18,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bridgeport Boe At Dunbar School,Provider,Early Start CT funded child care,Public School,Bridgeport,06607,"445 Union Ave, Bridgeport, CT, 06607",Preschool,Lindsay Davis,(203) 275-1262,,EXEMPT; Registry 7218,0,36,0,36,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bridgeport Boe At Geraldine Claytor Magnet Academy,Provider,Early Start CT funded child care,Public School,Bridgeport,06605,"240 Ocean Ter, Bridgeport, CT, 06605",Preschool,Lindsay Davis,(203) 275-1262,,DCEX.80534; Registry 7259,0,36,0,36,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bridgeport Boe At Hallen School,Provider,Early Start CT funded child care,Public School,Bridgeport,06606,"68 Omega Ave, Bridgeport, CT, 06606",Preschool,Lindsay Davis,(203) 275-1262,,EXEMPT; Registry 1679,0,18,0,18,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bridgeport Boe At High Horizons Magnet School,Provider,Early Start CT funded child care,Public School,Bridgeport,06606,"700 Palisade Ave, Bridgeport, CT, 06606",Preschool,Lindsay Davis,(203) 275-1262,,EXEMPT; Registry 8601,0,18,0,18,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bridgeport Boe At John Winthrop School,Provider,Early Start CT funded child care,Public School,Bridgeport,06606,"85 Eckhart St, Bridgeport, CT, 06606",Preschool,Lindsay Davis,(203) 275-1262,,EXEMPT; Registry 7461,0,18,0,18,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bridgeport Boe At Luis Munoz Marin School,Provider,Early Start CT funded child care,Public School,Bridgeport,06608,"479 Helen St, Bridgeport, CT, 06608",Preschool,Lindsay Davis,(203) 275-1262,,EXEMPT; Registry 6143,0,18,0,18,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bridgeport Boe At Park City Magnet School,Provider,Early Start CT funded child care,Public School,Bridgeport,06606,"1526 Chopsey Hill Rd, Bridgeport, CT, 06606",Preschool,Lindsay Davis,(203) 275-1262,,DCEX.80604; Registry 1932,0,18,0,18,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bridgeport Boe At Read School,Provider,Early Start CT funded child care,Public School,Bridgeport,06608,"130 Ezra St, Bridgeport, CT, 06608",Preschool,Lindsay Davis,(203) 275-1262,,EXEMPT; Registry 1872,0,36,0,36,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bridgeport Boe At Roosevelt School,Provider,Early Start CT funded child care,Public School,Bridgeport,06604,"680 Park Ave, Bridgeport, CT, 06604",Preschool,Lindsay Davis,(203) 275-1262,,EXEMPT; Registry 1821,0,18,0,18,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bridgeport Boe At Skane School,Provider,Early Start CT funded child care,Public School,Bridgeport,06606,"2977 Madison Ave, Bridgeport, CT, 06606",Preschool,Lindsay Davis,(203) 275-1262,,EXEMPT; Registry 6154,0,80,0,80,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bridgeport Boe At Tisdale School,Provider,Early Start CT funded child care,Public School,Bridgeport,06607,"250 Hollister Ave, Bridgeport, CT, 06607",Preschool,Lindsay Davis,(203) 275-1262,,DCEX.80528; Registry 1870,0,18,0,18,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bridgeport Boe At Waltersville School,Provider,Early Start CT funded child care,Public School,Bridgeport,06608,"150 Hallett St, Bridgeport, CT, 06608",Preschool,Lindsay Davis,(203) 275-1262,,DCEX.80571; Registry 1871,0,18,0,18,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Bridgeport YMCA/Kolbe Educational Center,Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06608,"401 Kossuth St, Bridgeport, CT, 06608",Infant/Toddler; Preschool,Maria Valentin,(203) 334-5551,,DCCC.16131; Registry 1376,33,150,0,183,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Cheyenne's Early Learning Center,Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06606,"4600 Main St, Bridgeport, CT, 06606",Infant/Toddler; Preschool,Pamela Hinton,(203) 521-6408,,DCCC.70107; Registry 1918,48,56,0,104,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Cheyenne's Early Learning Center II,Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06606,"3787 Main St, Bridgeport, CT, 06606",Infant/Toddler; Preschool,Pamela Hinton,(203) 521-6408,,DCCC.70485; Registry 8627,24,15,0,39,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Child's World,Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06605,"1245 Fairfield Ave, Bridgeport, CT, 06605",Preschool,Debra Buster,(203) 520-6442,,DCCC.14307; Registry 194,0,103,0,103,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Cora Wright Early Learning Center,Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06605,"233 Bennett St, Bridgeport, CT, 06605",Infant/Toddler,Monette Ferguson,(203) 366-8241,,DCCC.16496; Registry 1548,39,0,0,39,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Early Childhood Laboratory School (HCC),Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06604,"900 Lafayette Blvd, Bridgeport, CT, 06604",Infant/Toddler; Preschool,Kristin Lund,(203) 332-5030,,DCCC.14510; Registry 23,16,25,0,41,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Evelyn Majano-Montiel Family Child Care Home,Provider,Early Start CT funded child care,Family Home,Bridgeport,06605,"24 BUTLER AVE, Bridgeport, CT, 06605",Infant/Toddler; Preschool,Evelyn L Majano-Montiel,(475) 312-8688,,DCFH.56725; Registry 7591,6,3,0,9,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hall Neighborhood House,Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06608,"52 George E Pipkin Way, Bridgeport, CT, 06608",Infant/Toddler; Preschool,Hector R. Burgos,(203) 345-2052,,DCCC.70386; Registry 162,116,170,0,286,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Jaime A. Hulley Child Care Center,Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06604,"460 Lafayette St, Bridgeport, CT, 06604",Infant/Toddler; Preschool,Bonita Perry,(203) 366-8241,,DCCC.12832; Registry 1422,36,47,0,83,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Kamara Moodie Family Child Care Home (Lil Sunshine Home Daycare LLC) (FCCH),Provider,Early Start CT funded child care,Family Home,Bridgeport,06605,"45 Butler Avenue, Fl 2, Bridgeport, CT, 06605",Infant/Toddler; Preschool; School age,Georgia Goldburn,(860) 913-4906,,DCFH.54248; Registry 5381,4,3,1,8,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Loveable Angels Childcare Learning Center,Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06610,"1825 E Main St, Bridgeport, CT, 06610",Preschool,Sonia Spencer,(203) 337-6614,,DCCC.16843; Registry 6324,0,44,0,44,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Lucille Johnson Child Care Center,Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06604,"816 Fairfield Ave, Bridgeport, CT, 06604",Infant/Toddler,Dr. Monette Ferguson,(203) 366-8241,,DCCC.15175; Registry 289,16,0,0,16,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Norma Stennett Family Child Care Home (Scholastics Renaissance LLC) (FCCH),Provider,Early Start CT funded child care,Family Home,Bridgeport,06605,"102 Cottage Street, Bridgeport, CT, 06605",Infant/Toddler; Preschool; School age,Georgia Goldburn,(860) 913-4906,,DCFH.56660; Registry 7658,5,2,1,8,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Precious Memories Early Childhood Learning Center,Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06606,"3600 Main St, Bridgeport, CT, 06606",Preschool,Sheree Higgins,(203) 650-8008,,DCCC.15520; Registry 315,0,44,0,44,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Precious Memories Early Childhood Learning Center Iii,Provider,Early Start CT funded child care,Child Care Center,Bridgeport,06604,"1332 North Ave, Bridgeport, CT, 06604",Infant/Toddler; Preschool,Sheree Higgins,(203) 650-8008,,DCCC.70050; Registry 6275,28,27,0,55,Bridgeport LGP,Camille Harris | charris@bridgeportedu.net | 203-275-1082,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
